City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
137,berlevag,70.8578,29.0864,26.55,74,75,6.91,1675325454
138,almeria,37.1667,-2.3333,39.78,80,7,4.52,1675325157
139,tiksi,71.6872,128.8694,-16.71,99,100,8.41,1675325456
140,masumbwe,-3.6333,32.1833,74.89,72,71,2.8,1675325456
141,atar,20.5169,-13.0499,62.78,14,81,6.46,1675324954
142,valdivia,-39.8142,-73.2459,48.29,94,5,3.09,1675325458
143,dwarka,22.2394,68.9678,74.77,36,5,10.96,1675325128
144,goderich,43.7501,-81.7165,27.91,75,69,21.92,1675325459
145,ucluelet,48.9329,-125.5528,42.1,90,100,1.01,1675325459
146,zeya,53.75,127.2667,-4.58,92,93,2.86,1675325460
147,powell river,49.8496,-124.5361,38.03,88,100,7.09,1675325460
148,monterey,36.2505,-121.2516,41.18,1,52,2.21,1675325456
149,teya,60.3778,92.6267,12.49,92,100,6.73,1675325461
150,san policarpo,12.1791,125.5072,80.65,85,15,14.43,1675325463
151,comodoro rivadavia,-45.8667,-67.5,67.42,41,100,10.27,1675325216
152,aklavik,68.2191,-135.0107,-29.36,99,65,7.65,1675324977
153,muros,42.7762,-9.0603,39.83,90,1,5.75,1675325064
154,constitucion,-35.3333,-72.4167,59.86,55,0,8.84,1675325023
155,whitianga,-36.8333,175.7,68.5,97,100,10.8,1675325175
156,kathmandu,27.7167,85.3167,71.82,34,20,3.44,1675325237
157,kinablangan,7.6947,126.5503,81.54,77,100,6.98,1675325469
158,iquitos,-3.7481,-73.2472,73.44,100,75,1.14,1675325471
159,westport,41.1415,-73.3579,29.75,57,0,0.0,1675325471
160,carutapera,-1.195,-46.02,73.9,97,100,3.62,1675325160
161,longyearbyen,78.2186,15.6401,10.24,67,75,16.11,1675324974
162,luwuk,-0.9516,122.7875,79.29,82,100,2.51,1675325474
163,bambous virieux,-20.3428,57.7575,82.13,74,12,10.38,1675325474
164,yar-sale,66.8333,70.8333,7.66,94,11,10.54,1675325183
165,chokurdakh,70.6333,147.9167,-7.47,99,100,3.44,1675325476
166,turukhansk,65.8167,87.9833,11.26,95,100,8.77,1675325477
167,anshun,26.25,105.9333,45.59,79,100,10.58,1675325478
168,port hedland,-20.3167,118.5667,88.72,62,1,11.39,1675324978
169,carnarvon,-24.8667,113.6333,85.62,61,8,19.44,1675324987
170,tuatapere,-46.1333,167.6833,64.8,89,100,0.51,1675324969
171,thompson,55.7435,-97.8558,-27.24,62,20,13.8,1675324825
172,faya,18.3851,42.4509,61.32,52,22,9.13,1675325229
173,harrison,30.4091,-89.0436,59.07,88,100,8.05,1675325327
174,vestmannaeyjar,63.4427,-20.2734,36.59,93,100,41.43,1675325483
175,coihaique,-45.5752,-72.0662,54.21,71,0,2.3,1675325485
176,akdepe,42.0551,59.3788,44.71,70,98,15.17,1675325485
177,severo-kurilsk,50.6789,156.125,25.81,70,100,21.0,1675325202
178,lac du bonnet,50.2536,-96.0612,-10.3,87,100,12.44,1675325489
179,santa isabel do rio negro,-0.4139,-65.0192,73.56,80,100,1.43,1675325490
180,holme,56.1138,10.1725,31.17,92,11,6.26,1675325491
181,kodiak,57.79,-152.4072,29.71,86,100,5.75,1675325492
182,pasighat,28.0667,95.3333,82.58,26,1,4.32,1675325493
183,north battleford,52.7834,-108.2847,-23.6,99,11,3.38,1675325493
184,walvis bay,-22.9575,14.5053,65.08,77,99,5.17,1675325494
185,castro,-24.7911,-50.0119,65.14,95,100,3.27,1675325494
186,jalu,29.0331,21.5482,54.9,50,7,5.44,1675325495
187,port hardy,50.6996,-127.4199,41.18,87,100,25.32,1675324949
188,bekwai,6.4534,-1.5774,77.72,82,48,2.71,1675325496
189,mount isa,-20.7333,139.5,76.77,69,100,12.66,1675324970
190,ishigaki,24.3448,124.1572,68.45,81,99,23.55,1675325497
191,havoysund,70.9963,24.6622,25.03,87,100,1.9,1675325498
192,litovko,49.2361,135.1742,-12.21,99,73,2.84,1675325498
193,jalna,19.8333,75.8833,83.46,22,90,7.47,1675325499
194,northam,51.0333,-4.2167,49.39,93,100,17.9,1675324958
195,vila velha,-20.3297,-40.2925,76.95,91,20,5.75,1675324923
196,bembereke,10.2283,2.6634,78.62,22,18,3.78,1675325501
197,coahuayana,18.7333,-103.6833,67.87,66,57,4.41,1675325143
198,lagoa,39.05,-27.9833,56.55,71,8,10.27,1675325501
199,matagami,49.7502,-77.6328,-8.03,100,100,4.36,1675325502
200,port hawkesbury,45.6169,-61.3485,16.59,87,97,8.01,1675325503
201,fort saint james,54.4333,-124.25,14.02,96,100,2.33,1675325503
202,trinidad,-14.8333,-64.9,72.01,99,99,3.13,1675325504
203,fasa,28.9383,53.6482,48.2,98,100,5.12,1675325505
204,hami,42.8,93.45,31.55,39,11,3.42,1675325505
205,laguna,38.421,-121.4238,48.09,83,0,5.75,1675325351
206,luderitz,-26.6481,15.1594,74.93,51,1,21.32,1675324781
207,kahului,20.8947,-156.47,75.85,88,20,4.61,1675325506
208,hermosillo,29.0667,-110.9667,51.85,89,0,0.0,1675325404
209,sitka,57.0531,-135.33,40.89,70,100,19.57,1675325507
210,provideniya,64.3833,-173.3,13.17,94,65,12.24,1675325508
211,port lincoln,-34.7333,135.8667,62.35,57,71,24.96,1675325508
212,amapa,1.0,-52.0,69.21,100,100,0.89,1675325096
213,mandalgovi,45.7625,106.2708,20.12,35,100,3.24,1675325509
214,klaksvik,62.2266,-6.589,38.32,72,100,19.91,1675325510
215,ishikari,43.2397,141.3539,21.25,79,100,20.71,1675325510
216,port blair,11.6667,92.75,84.24,70,40,8.05,1675325511
217,goya,-29.14,-59.2626,74.57,45,4,4.14,1675324952
218,safaga,26.7292,33.9365,61.09,47,0,16.15,1675325512
219,korla,41.7597,86.1469,29.64,49,67,3.31,1675324995
220,bengkulu,-3.8004,102.2655,84.7,68,94,13.15,1675325513
221,ayorou,14.7308,0.9174,75.92,12,20,8.43,1675325513
222,bull savanna,17.8868,-77.5902,71.11,81,7,8.32,1675325514
223,alta floresta,-9.8756,-56.0861,68.88,97,100,2.28,1675324956
224,jiangyou,31.7667,104.7167,60.3,37,51,5.61,1675325515
225,shingu,33.7333,135.9833,47.5,54,95,4.16,1675325515
226,da nang,16.0678,108.2208,73.38,94,100,3.44,1675325516
227,yulara,-25.2406,130.9889,87.13,22,0,17.58,1675325022
228,nuuk,64.1835,-51.7216,4.37,77,94,7.74,1675325517
229,fairbanks,64.8378,-147.7164,10.81,84,100,8.05,1675325194
230,itarema,-2.9248,-39.9167,77.72,84,100,12.03,1675325518
231,wakema,16.6,95.1833,94.46,25,69,3.11,1675325519
232,komsomolskiy,40.4272,71.7189,47.12,39,100,2.3,1675325519
233,shimoda,34.6667,138.95,48.56,60,100,8.88,1675325144
234,kodino,63.7198,39.6447,21.85,95,100,4.72,1675325520
235,baraboo,43.4711,-89.7443,21.34,78,0,9.22,1675325521
236,grootfontein,-19.5667,18.1167,72.0,71,100,7.36,1675325521
237,qaanaaq,77.484,-69.3632,-4.74,54,3,8.88,1675325522
238,kulhudhuffushi,6.6221,73.07,80.28,70,100,12.41,1675325523
239,hualmay,-11.0964,-77.6139,70.38,87,94,6.11,1675325524
240,hohhot,40.8106,111.6522,25.05,20,100,2.48,1675325525
241,otjiwarongo,-20.4637,16.6477,70.54,60,97,4.21,1675325526
242,nikel,69.4128,30.222,24.98,92,100,3.31,1675325527
243,teruel,40.6667,-0.6667,31.71,67,0,2.15,1675325528
244,palasa,18.7667,84.4167,86.97,27,84,16.53,1675325529
245,moron,-34.6534,-58.6198,75.96,72,100,3.96,1675325530
246,talnakh,69.4865,88.3972,11.21,96,100,8.93,1675325531
247,palmer,42.1584,-72.3287,22.62,72,100,0.0,1675325035
248,cockburn town,21.4612,-71.1419,77.36,66,0,18.48,1675325532
249,makakilo city,21.3469,-158.0858,73.56,81,43,2.28,1675324922
250,nemuro,43.3236,145.575,19.72,73,49,15.93,1675325534
251,heyang,26.1011,107.473,42.39,85,100,5.88,1675325535
252,brae,60.3964,-1.353,39.76,75,100,8.19,1675325536
253,tilichiki,60.4667,166.1,1.51,97,90,6.85,1675325537
254,tadine,-21.55,167.8833,80.04,77,99,7.23,1675325538
255,greencastle,39.6445,-86.8647,24.85,72,0,5.75,1675325475
256,omboue,-1.5746,9.2618,79.93,81,100,5.95,1675325540
257,bairiki,1.3292,172.9752,82.4,78,40,11.5,1675325541
258,maitum,6.0392,124.4986,82.99,74,60,6.69,1675325542
259,altay,47.8667,88.1167,23.97,74,12,1.19,1675325543
260,puerto madero,14.7208,-92.4215,70.0,100,0,0.0,1675325544
261,myrtle beach,33.6891,-78.8867,48.04,88,100,4.61,1675325545
262,cacimba de dentro,-6.6417,-35.79,69.37,91,88,7.27,1675325546
263,sao joao da barra,-21.6403,-41.0511,73.51,91,55,10.04,1675325124
264,bandarbeyla,9.4942,50.8122,77.95,56,19,14.7,1675325548
265,voh,-20.9667,164.7,79.21,70,76,3.2,1675325550
266,te anau,-45.4167,167.7167,62.76,91,100,0.38,1675325032
267,zalantun,48.0,122.7167,9.37,64,5,0.92,1675325552
268,pendleton,45.6721,-118.7886,35.78,74,0,5.75,1675325474
269,capitanejo,6.5288,-72.696,62.78,74,15,3.67,1675325554
270,lompoc,34.6391,-120.4579,43.59,88,0,8.05,1675325555
271,carahue,-38.7,-73.1667,49.64,94,14,0.13,1675325556
272,hobyo,5.3505,48.5268,80.6,55,51,18.5,1675325556
273,pacifica,37.6138,-122.4869,49.78,72,20,3.0,1675325272
274,azare,11.6765,10.1948,73.42,21,99,13.24,1675325140
275,ashland,40.8167,-82.2665,22.26,81,100,5.64,1675325558
276,fenoarivo,-18.933,47.4354,73.47,68,75,6.91,1675325559
277,saint pete beach,27.7253,-82.7412,66.99,94,0,3.44,1675325559
278,boden,65.8252,21.6886,21.2,93,65,6.87,1675325560
279,hovd,48.0056,91.6419,9.23,69,12,3.09,1675325560
280,granville,-33.8333,151.0167,92.25,47,75,26.46,1675325212
281,muriwai beach,-36.8167,174.45,71.42,91,100,11.39,1675325561
282,kamenka,51.3223,42.7678,29.7,96,100,9.42,1675325562
283,nador,35.174,-2.9287,46.65,93,75,3.44,1675325563
284,pati,-6.7559,111.038,80.6,83,100,4.32,1675325563
285,toccoa,34.5773,-83.3324,50.18,93,100,5.75,1675325564
286,tongzhou,39.9053,116.5994,33.91,16,0,4.47,1675325564
287,tautira,-17.7333,-149.15,81.27,76,5,20.74,1675325565
288,mount gambier,-37.8333,140.7667,57.11,59,14,17.07,1675325431
289,leningradskiy,69.3833,178.4167,-11.11,99,85,5.68,1675325566
290,bereda,43.2686,-7.5406,27.14,100,25,2.1,1675325567
291,stornoway,58.2093,-6.3865,49.96,94,100,24.16,1675324983
292,daru,-9.0763,143.2092,78.37,91,100,10.63,1675325567
293,uruguaiana,-29.7547,-57.0883,77.38,61,22,11.95,1675325568
294,damghan,36.1683,54.348,45.59,58,6,2.57,1675325569
295,udachnyy,66.4167,112.4,-28.28,100,93,4.61,1675325570
296,aksarka,66.5606,67.7975,10.02,93,18,9.46,1675325570
297,labuhan,-6.8844,112.2051,78.94,86,100,10.87,1675325571
298,sinnamary,5.3833,-52.95,73.42,91,99,3.06,1675325572
299,jishou,28.3167,109.7167,39.33,79,100,3.2,1675325573
300,ha tinh,18.3333,105.9,72.43,83,98,6.22,1675325573
301,pedras de fogo,-7.4019,-35.1164,74.03,87,60,3.67,1675325574
302,letnyaya stavka,45.4306,43.4472,36.01,86,100,6.15,1675325574
303,eureka,40.8021,-124.1637,47.59,96,32,5.48,1675325575
304,georgiyevka,43.0369,74.7114,35.64,64,100,6.71,1675325576
305,amparafaravola,-17.5833,48.2167,79.92,57,89,7.7,1675325576
306,muravlenko,63.7898,74.523,15.89,93,19,13.49,1675325577
307,qidong,31.8128,121.6561,40.93,62,97,12.8,1675325578
308,cabedelo,-6.9811,-34.8339,75.87,79,57,8.52,1675325578
309,marquette,46.5333,-87.6335,15.76,67,100,9.06,1675325579
310,inta,66.0317,60.1659,24.4,87,78,16.28,1675325580
311,rapid valley,44.0625,-103.1463,35.64,69,0,12.66,1675325448
312,lodja,-3.4833,23.4333,74.62,85,97,1.57,1675325581
313,madera,37.1666,-119.8343,51.24,65,100,3.31,1675325581
314,edd,13.9297,41.6925,80.89,56,3,5.7,1675325583
315,monopoli,40.9559,17.2896,53.15,71,0,9.13,1675325584
316,kruisfontein,-34.0033,24.7314,74.88,44,88,6.2,1675325585
317,charters towers,-20.1,146.2667,87.31,51,99,13.82,1675325084
318,portland,45.5234,-122.6762,39.94,71,40,5.99,1675325519
319,mitu,1.1983,-70.1733,70.43,77,61,2.26,1675325587
320,yenisehir,40.2644,29.6531,32.05,100,75,1.14,1675325589
321,praia da vitoria,38.7333,-27.0667,54.75,86,21,8.5,1675325590
322,pedro carbo,-1.8333,-80.2333,73.42,94,94,0.98,1675325591
323,codrington,-38.2667,141.9667,58.5,57,38,23.76,1675325593
324,bathsheba,13.2167,-59.5167,75.81,73,20,14.97,1675325594
325,fare,-16.7,-151.0167,81.79,75,6,20.09,1675325088
326,pisco,-13.7,-76.2167,71.65,83,0,10.36,1675325595
327,bogashevo,56.3683,85.1447,17.85,78,0,4.0,1675325596
328,jacareacanga,-6.2222,-57.7528,71.37,99,100,1.86,1675325597
329,ende,-8.8432,121.6623,82.04,84,100,3.44,1675325598
330,aykhal,66.0,111.5,-21.55,100,98,3.74,1675325599
331,bosaso,11.2842,49.1816,78.03,58,7,9.66,1675325600
332,port-gentil,-0.7193,8.7815,80.42,81,60,7.56,1675325601
333,andenes,69.3143,16.1194,27.93,93,20,9.22,1675325185
334,gisborne,-38.6533,178.0042,68.36,88,79,4.76,1675325603
335,rocha,-34.4833,-54.3333,65.82,89,97,1.57,1675325108
336,lata,40.1629,-8.3327,37.08,86,0,4.34,1675325195
337,beringovskiy,63.05,179.3167,21.78,96,100,12.48,1675325605
338,rio grande,-32.035,-52.0986,73.06,86,24,7.92,1675325458
339,kattivakkam,13.2167,80.3167,84.29,66,100,17.45,1675325607
340,leticia,-4.2153,-69.9406,73.45,100,100,0.0,1675325608
341,manokwari,-0.8667,134.0833,83.48,71,28,7.96,1675325609
342,rozkishne,48.5074,39.3004,33.84,65,94,7.23,1675325611
343,lugovoy,42.9472,72.7644,38.44,99,100,1.36,1675325612
344,redwater,33.3582,-94.2544,35.89,91,100,4.23,1675325613
345,santo antonio do ica,-3.1022,-67.9397,72.39,100,100,1.74,1675325614
346,camacha,33.0833,-16.3333,56.62,63,40,16.11,1675325614
347,norrtalje,59.758,18.705,29.01,77,100,9.13,1675325615
348,agua verde,22.9,-106.05,62.69,80,45,4.21,1675325616
349,norman wells,65.282,-126.8329,-41.76,66,0,3.44,1675325039
350,reporoa,-38.4333,176.35,69.42,99,100,5.44,1675325617
351,guerrero negro,27.9769,-114.0611,55.65,66,0,3.44,1675325617
352,isla mujeres,21.2311,-86.731,75.25,79,1,13.2,1675325205
353,palana,59.1167,159.9667,-0.09,97,77,5.57,1675325618
354,batagay,67.6333,134.6333,-32.58,98,98,1.99,1675325619
355,iqaluit,63.7506,-68.5145,-43.49,97,60,5.28,1675325620
356,banda aceh,5.5577,95.3222,84.2,69,100,6.46,1675325083
357,raudeberg,61.9875,5.1352,30.96,54,4,7.14,1675325621
358,poum,-20.2333,164.0167,82.11,70,55,9.73,1675325211
359,imbituba,-28.24,-48.6703,72.93,92,26,5.23,1675324971
360,bundaberg,-24.85,152.35,76.21,98,38,4.0,1675325623
361,touros,-5.1989,-35.4608,78.01,81,85,10.29,1675325363
362,leshukonskoye,64.8989,45.7622,15.57,97,81,5.88,1675325623
363,harper,4.375,-7.7169,80.82,81,23,4.45,1675325126
364,kropotkin,45.4375,40.5756,36.63,73,100,5.68,1675325342
365,faanui,-16.4833,-151.75,81.52,77,53,21.16,1675325625
366,chara,56.9064,118.2631,-8.91,85,77,0.72,1675325626
367,riyadh,24.6877,46.7219,64.54,43,1,5.41,1675325400
368,fengzhen,40.4394,113.1536,25.45,16,100,4.32,1675325627
369,airai,-8.9266,125.4092,66.2,90,95,2.82,1675325627
370,namie,37.4833,141.0,37.98,46,100,11.88,1675325628
371,pinar del rio,22.4175,-83.6981,66.78,92,7,5.03,1675325628
372,ust-kuyga,70.0167,135.6,-19.8,96,99,5.01,1675325535
373,namatanai,-3.6667,152.4333,82.26,72,97,5.7,1675325629
